prefix,ok,chi_1(384),chi_2(384),chi_3(384),hash,CC
rc_-1800_-1800_1800,True,-0.015099090723947826,-15.040886350517708,147.8459861643498,290731621245947921195499163261927295824,0.0806
rc_-1800_-1800_600,True,-0.015099090723947826,-15.040886350517708,27.845986164349725,265928919491940368616544804110194603514,0.0801
rc_-1800_-600_-1200,True,-0.015099090723947826,104.95911364948222,-152.15401383565026,146221513468948622363000434964904634504,0.1349
rc_-1800_-600_1800,True,-0.015099090723947826,104.95911364948222,147.8459861643498,239016138869552740474846437595858330916,0.1424
rc_-1800_-1200_0,True,-0.015099090723947826,44.95911364948228,-32.154013835650275,254113618006617632701449915148053764124,0.0128
rc_-1800_0_-1200,True,-0.015099090723947826,164.95911364948228,-152.15401383565018,141719483661315532971609601247000152378,0.1526
rc_-1800_-1800_-1800,True,-0.015099090723947826,-15.040886350517708,147.8459861643498,290731621245947921195499163261927295824,0.0806
rc_-1800_-600_0,True,-0.015099090723947826,104.95911364948222,-32.15401383565023,255293253805338800438458104907682285315,0.1429
rc_-1800_-600_-600,True,-0.015099090723947826,104.95911364948222,-92.15401383565023,235527438710032297680726531596079431873,0.1143
rc_-1800_-600_1200,True,-0.015099090723947826,104.95911364948222,87.84598616434982,306359164012215689133190621821049849801,0.1148
rc_-1800_-1800_-600,True,-0.015099090723947826,-15.040886350517708,-92.15401383565033,294538445785235992013414522409649124470,0.0411
rc_-1800_-1200_600,True,-0.015099090723947826,44.95911364948228,27.84598616434978,186147320891958402491313612536724399220,0.0241
rc_-1800_-600_600,True,-0.015099090723947826,104.95911364948222,27.84598616434982,45371402741829608283056612306465617298,0.1353
rc_-1800_-1800_1200,True,-0.015099090723947826,-15.040886350517708,87.84598616434971,130359035388044988669289893234793836377,0.0475
rc_-1800_-1800_-1200,True,-0.015099090723947826,-15.040886350517708,-152.15401383565026,258936959404232569153206652327392650205,0.0777
rc_-1800_0_-600,True,-0.015099090723947826,164.95911364948228,-92.1540138356502,328321783339040654427736432867544159808,0.1303
rc_-1800_-1800_0,True,-0.015099090723947826,-15.040886350517708,-32.154013835650275,8148123669420081612110439455137122359,0.0775
rc_-1800_-1200_1200,True,-0.015099090723947826,44.95911364948228,87.84598616434968,36354904063806154318178341503407509377,0.0356
rc_-1800_-1200_-600,True,-0.015099090723947826,44.95911364948228,-92.15401383565028,174721939831992074871163759759747333224,0.0345
rc_-1800_0_600,True,-0.015099090723947826,164.95911364948228,27.845986164349835,321705309861156849925194118261975832841,0.1563
